Area,Latitude,Longitude
Grand Boulevard,41.812350756097544,-87.61911344817075
Printers Row,41.87158951562501,-87.6292928125
United Center,41.88302373737376,-87.68027289562296
Sheffield & DePaul,41.92675094736843,-87.6540542255639
Humboldt Park,41.90250014203454,-87.714317537428
Garfield Park,41.87720216376308,-87.71621648954705
North Lawndale,41.86248020192302,-87.71627114038452
Little Village,41.83805428421047,-87.71336313473688
Armour Square,41.838124522806964,-87.63377659649119
Avalon Park,41.74422819827586,-87.58768629885053
Burnside,41.727748208530805,-87.5965367345972
Calumet Heights,41.72928781717453,-87.57114240166207
Pullman,41.70480331216932,-87.59835333862439
Riverdale,41.66131802846983,-87.60683143238434
Hegewisch,41.66129055094333,-87.55049399811318
Douglas,41.83618456410254,-87.61611482336183
Oakland,41.822267859872625,-87.6002628566879
Fuller Park,41.8095423659306,-87.63225097160888
Woodlawn,41.77782438181818,-87.60203802077923
Portage Park,41.95664455387204,-87.7687172306397
Hermosa,41.92268295785439,-87.73309043678161
Avondale,41.938749038321134,-87.70484990510953
Logan Square,41.92224286852586,-87.70558936852595
"Little Italy, UIC",41.868866979942695,-87.66569395415466
Kenwood,41.809096041847084,-87.59014521356423
Rogers Park,42.01193780669544,-87.66567663174946
Jefferson Park,41.984603051158324,-87.77160201061783
"Sauganash,Forest Glen",41.996374365905474,-87.76584756505581
North Park,41.98100712674646,-87.71858501996005
Albany Park,41.969365677124195,-87.71818108758175
Irving Park,41.954341508371414,-87.71614084931517
Dunning,41.94715458627861,-87.81077270062363
West Ridge,41.99931392357726,-87.69715870406503
Uptown,41.96562998824681,-87.64477075122413
Norwood Park,41.98395140135538,-87.80422103915659
Streeterville,41.89456717361115,-87.61047331805563
South Shore,41.762858821036126,-87.55927296703287
Chatham,41.739082447495974,-87.61424435218092
South Chicago,41.74486490585018,-87.54017808957944
Roseland,41.710396535211224,-87.62315004381854
North Center,41.94645439859154,-87.68748517746477
South Deering,41.694095146944015,-87.57165123667095
East Side,41.711232786480714,-87.52920815557938
West Pullman,41.66852444246031,-87.63699774107135
Garfield Ridge,41.80010491144277,-87.76798599601989
New City,41.808242012987,-87.66023720616887
Englewood,41.777208138263646,-87.64923599999995
Grand Crossing,41.76512841500001,-87.61689526000008
Ashburn,41.74470396560199,-87.70792158722367
Mount Greenwood,41.69598878911563,-87.71314335782304
Morgan Park,41.68822122852509,-87.66844044246358
O'Hare,41.97840501526397,-87.88398738737642
Jackson Park,41.78149129642862,-87.5753770916666
Loop,41.879320669034094,-87.62077765056814
Greektown,41.878311414893616,-87.64682597872341
Museum Campus,41.85930178824481,-87.61039685587767
Edgewater,41.988198835597835,-87.65707158152186
Lake View,41.944542531762345,-87.64785662909838
Lincoln Park,41.920981154711626,-87.63743855625873
Magnificent Mile,41.894360324324325,-87.62422559459458
Lincoln Square,41.974303994865245,-87.69423323876767
Washington Park,41.79120018360654,-87.6177395114754
Millenium Park,41.88282643529411,-87.61999112941177
Near South Side,41.855424077441064,-87.62393109764307
Chicago Lawn,41.772727168797935,-87.69995941943738
Auburn Gresham,41.742969278863235,-87.6549688880996
Beverly,41.7126121454184,-87.67978784262954
Washington Heights,41.71948937110482,-87.64973235694055
Edison Park,42.008608863387934,-87.81590777049183
Hyde Park,41.79563040147328,-87.5871319963167
Grant Park,41.873729815789474,-87.62099189473686
West Loop,41.87821568320614,-87.6477335
Bucktown,41.92356356443301,-87.68004881958755
Lower West Side,41.850396247058825,-87.66396533529418
Wrigleyville,41.94953513178297,-87.65794859689923
Andersonville,41.98007674125876,-87.668411965035
Rush & Division,41.89938809876542,-87.62898439506175
Archer Heights,41.80897798076922,-87.72604096153842
Brighton Park,41.81821672562357,-87.69722810430844
Mckinley Park,41.828801427450955,-87.67417584705879
Bridgeport,41.83604858753707,-87.645473189911
West Elsdon,41.792994388601,-87.72387130569952
Gage Park,41.79525584468663,-87.69773845504085
Clearing,41.779073775700915,-87.77361504299057
West Lawn,41.77082559999997,-87.72488045961535
Chinatown,41.85130179651162,-87.63456526744189
East Village,41.89975313178295,-87.67288035658919
West Town,41.89779971405751,-87.6631351821086
Wicker Park,41.90909951111108,-87.680470337037
Galewood,41.91322529793508,-87.79366510029499
Montclare,41.93118168965518,-87.79865749310338
Belmont Cragin,41.92670147689076,-87.76660423739493
Austin,41.88891190174324,-87.75693056101429
Ukrainian Village,41.89936042352941,-87.68490997058825
Old Town,41.910812819587626,-87.63969935051547
Gold Coast,41.90555922085892,-87.62454178220851
Boystown,41.94545730656935,-87.64768427737219
River North,41.897743898701265,-87.64034936363639
